"REF_DATE","GEO","DGUID","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991-09","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","7.285","","","","3"
"1991-10","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","26.105","","","","3"
"1991-10","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","11.681","","","","3"
"1991-10","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","14.424","","","","3"
"1991-11","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","19.935","","","","3"
"1991-11","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","9.658","","","","3"
"1991-11","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","10.277","","","","3"
"1991-12","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","22.099","","","","3"
"1991-12","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","8.851","","","","3"
"1991-12","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","13.248","","","","3"
"1992-01","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","22.193","","","","3"
"1992-01","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","11.746","","","","3"
"1992-01","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","10.447","","","","3"
"1992-02","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","12.530","","","","3"
"1992-02","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","6.747","","","","3"
"1992-02","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","5.783","","","","3"
"1992-03","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","10.613","","","","3"
