'

"Prov/Terr","FSA","Total","Total income","Net income","Taxable income"
24,"G5N",6990,411689,368296,359538
24,"G5R",16930,815063,740940,706158
24,"G5T",2530,101952,94440,87961
24,"G5V",9720,424275,390680,373308
24,"G5X",5150,236346,216574,207296
24,"G5Y",19760,905233,828247,781567
24,"G5Z",6160,336209,305159,293485
24,"G6A",2030,116580,103674,101106
24,"G6B",7160,313876,288297,273311
24,"G6C",6560,358482,321767,313222
24,"G6E",11060,576399,521723,505199
24,"G6G",17180,743606,680098,643972
24,"G6H",6030,252321,231622,220712
24,"G6J",8690,483194,432061,423145
24,"G6K",6600,422512,370680,363841
24,"G6L",13140,566878,525588,501986
24,"G6P",24980,1067911,976791,918054
24,"G6R",3800,200306,181332,175956
24,"G6S",4510,228252,206590,199862
24,"G6T",9150,488849,439766,426864
24,"G6V",27480,1394402,1257184,1212251
24,"G6W",21390,1212428,1083121,1055720
24,"G6X",7740,390913,352742,344173
24,"G6Y",5800,367775,325201,319299
24,"G6Z",19520,1201325,1064525,1047083
24,"G7A",20860,1409504,1250229,1223523
24,"G7B",14790,718838,648259,626487
24,"G7G",13750,690270,619493,602203
24,"G7H",24380,1318448,1183987,1139333
24,"G7J",12140,621795,559699,538120
24,"G7K",700,36066,32796,31910
24,"G7N",5270,322370,287292,277765
24,"G7P",6130,320589,288291,278457
24,"G7S",16220,909992,808531,790996
24,"G7T",1300,81576,72961,72125
24,"G7X",21580,979751,888606,846498
24,"G7Y",550,29538,26011,25251
24,"G7Z",2250,126852,112066,109415
24,"G8A",5010,247533,223703,216006
24,"G8B",18760,867054,783159,750765
24,"G8C",3780,230418,202290,198100
24,"G8E",3210,158868,143705,139825
24,"G8G",3310,154944,140523,133185
24,"G8H",8400,375053,339809,323790
24,"G8J",3440,159348,144965,139804
24,"G8K",8880,422845,379694,364270
24,"G8L",12200,552411,498293,469566
24,"G8M",4330,198800,179990,172285
24,"G8N",2120,99311,89029,85858
24,"G8P",5880,340942,308397,285381
24,"G8T",23270,925239,848126,799417
24,"G8V",8370,464710,410464,399181
24,"G8W",9260,508811,451735,436783
24,"G8Y",28030,1476554,1314597,1275617
24,"G8Z",11360,459748,423493,402339
24,"G9A",16810,656438,606623,558228
24,"G9B",15730,951230,845688,822183
24,"G9C",3130,186479,164751,161830
24,"G9H",11430,599209,536381,515208
24,"G9N",13690,508091,468704,431243
